name,location,address,venue_type,capacity,contact_email,contact_phone,website,typical_genres
Red Hat Amphitheater,Downtown Raleigh,"500 S McDowell St, Raleigh, NC 27601",Amphitheater,5000,rha.social@raleighnc.gov,(919) 831-6400,https://www.redhatamphitheater.com/,All Genres
Lenovo Center,Raleigh,"1400 Edwards Mill Rd, Raleigh, NC 27607",Arena,20000,,(919) 861-2323,https://www.pncarena.com/,"Major Acts, All Genres"
Coastal Credit Union Music Park,Walnut Creek,"3801 Rock Quarry Rd, Raleigh, NC 27610",Amphitheater,20000,,(919) 831-6400,https://www.walnutcreekamphitheatre.com/,"Major Acts, All Genres"
Lincoln Theatre,Downtown Raleigh,"126 E Cabarrus St, Raleigh, NC 27601",Concert Hall,750,info@lincolntheatre.com,(919) 821-4111,https://lincolntheatre.com/,All Genres
The Ritz,Raleigh,"2820 Industrial Dr, Raleigh, NC 27609",Music Venue,1400,TheRitzRaleigh@LiveNation.com,(919) 424-1400,https://www.ritzraleigh.com/,"Rock, Hip-Hop, Electronic"
Martin Marietta Center,Downtown Raleigh,"2 E South St, Raleigh, NC 27601",Concert Hall,1700,,,https://www.dukeenergycenterraleigh.com/,"Classical, All Genres"
The Pour House Music Hall,Downtown Raleigh,"224 S Blount St, Raleigh, NC 27601",Music Venue,289,adam@the-pour-house.com,(919) 821-1120,https://pourhouseraleigh.com/,"Rock, Blues, Folk, Jazz"
Kings,Downtown Raleigh,"14 W Martin St, Raleigh, NC 27601",Bar/Venue,70,booking@kingsraleigh.com,,https://www.kingsraleigh.com/,"All Genres, Comedy"
Tin Roof,Glenwood South,"300 Glenwood Ave, Raleigh, NC 27603",Restaurant/Bar,300,Music@tinroofbars.com,(919) 322-2333,https://tinroofraleigh.com/,"Country, Rock, All Genres"
Chapel of Bones,Raleigh,"658 Maywood Ave, Raleigh, NC 27603",Coffee/Venue,350,,(919) 307-3302,https://chapelofbones.com/,"Metal, Alternative"
Slim's Downtown,Downtown Raleigh,"227 S Wilmington St, Raleigh, NC 27601",Dive Bar,100,SlimsBooking@gmail.com,,https://www.slimsdowntown.com/,"Rock, Blues, Alternative"
Deep South The Bar,Downtown Raleigh,"Near Red Hat Amphitheater, Raleigh, NC",Bar,100,John@DeepSouthEntertainment.com,,https://www.deepsouthbar.com/,"Rock, Alternative"
The Moon Room,Smoky Hollows,"Downtown Raleigh, NC",Jazz Venue,75,,,https://www.themoonroomraleigh.com/,"Jazz, Classical"
Imurj,Downtown Raleigh,"Downtown Raleigh, NC",Bar/Event Space,150,,,https://www.imurj.com/,"All Genres, Electronic"
Tap Yard Raleigh,Raleigh,"1717 Bickett Blvd, Raleigh, NC 27608",Beer Garden,300,bands@tapyard.com,,https://tapyardraleigh.com/,All Genres
